PaymentAt,Information,Category,Whose
ＡＣＡＤＥＭＩＡ港北店,ACADEMIA,Need Confirmed,Not sure
ｼﾞﾖｲﾅｽ,Joinus,Need Confirmed,Not sure
横浜市営地下鉄センター北駅ＩＴ,Subway Center Kita IT Mall,Eating Out,Home
ﾍﾟｲﾍﾟｲ ｺｳﾎｸﾄｳｷｭｳ,Paypay Kohoku Tokyu,Need Confirmed,Not sure
ﾍﾟｲﾍﾟｲ ﾄｳｷｭｳﾊﾝｽﾞ,Paypay Tokyu Hanzu (Center Minami - Shopping),Need Confirmed,Not sure
ﾍﾟｲﾍﾟｲ ﾛｰｿﾝ,Paypay Lawson,Household Supplies,Home
ユニクロジーユーオンライン,Uniqlo Online,Need Confirmed,Vit
ﾁｬｰﾙｽﾞｱﾝﾄﾞｷｰｽｺｳｼ,Charles and Keith,Personal,Vit
ﾊﾂｸﾄﾞﾗﾂｸﾞ ｺｳﾎｸﾐﾅ,HAC,Household Supplies,Home
ﾍﾟｲﾍﾟｲ ｼﾞｰﾕｰ,Paypay GU,Need Confirmed,Not sure
ﾍﾟｲﾍﾟｲ ｳｴﾙｼｱｸﾞﾙｰﾌﾟ,Paypay HAC,Household Supplies,Home
ﾍﾟｲﾍﾟｲ ﾀﾏﾌﾟﾗｰｻﾞ ﾃﾗｽ,Paypay Tamaplaza Terrace,Need Confirmed,Not sure
ﾍﾟｲﾍﾟｲ ｱﾙﾍﾟﾝ,Paypay Alpen (Sport Depo),Need Confirmed,Not sure
APPLE JAPAN INC,Apple JAPAN Store,Need Confirmed,Not sure
ＮＥＴＦＬＩＸ．ＣＯＭ,Netflix,Personal,Meo
ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ,Paypay charge,Transfer Out,Home
KICKSTARTER KEYCHRON利用国USA,Kick Starter Keychron,Personal,Meo
ﾍﾟｲﾍﾟｲ ﾗﾗﾎﾟｰﾄﾖｺﾊﾏ,Paypay Lalaport Yokohama,Need Confirmed,Not sure
ﾄｳｶｲｷﾖｽｸ ｸﾞﾗﾝﾄﾞｷ,Grand Kiosk (Combini),Household Supplies,Meo
ﾍﾟｲﾍﾟｲ ﾗﾗﾎﾟｰﾄﾖｺﾊ,Paypay Lalaport Yokohama,Need Confirmed,Not sure
ららぽーと横浜,Lalaport Yokohama,Need Confirmed,Not sure
高島屋,Takashimaya,Need Confirmed,Not sure
ﾄｳｷﾕｳﾋﾔﾂｶﾃﾝﾀﾏﾌﾟﾗ,Tokyu Department Store Tama Plaza,Need Confirmed,Not sure
ﾁﾔ-ﾙｽﾞｱﾝﾄﾞ,Charles and Keith,Personal,Vit
ﾏｸﾄﾞﾅﾙﾄﾞ,McDonalds,Eating Out,Home
くら寿司モザイクモール港北店,Kurasushi,Eating Out,Home
成田国際空港ターミナル,Narita Mall,Eating Out,Home
ｶﾂｺｳﾎﾞｳﾜｺｳｱﾕﾐｶﾞｵ,Katsudon,Eating Out,Home
ｲﾂﾎﾟｲﾂﾎﾟﾉｶﾌｴｼﾖｸﾄ,Café Pono,Eating Out,Home
ｼﾁﾘﾝﾔｷﾆｸｱﾝｱﾝｺｳﾎｸ,AnAn,Eating Out,Home
ﾏ-ｸｲｽﾞﾐﾅﾄﾐﾗｲ,Sushi Minatomirai,Eating Out,Home
アピタ　サインレス食品,Apita Restaurant,Eating Out,Home
ﾀﾘ-ｽﾞｺ-ﾋ-,Tully Coffe,Eating Out,Home
ﾓﾄﾏﾁｸﾞﾘﾙ,Hiroshima restaurant (grill),Eating Out,Home
ﾏﾝﾏﾋﾟﾂﾂｱ,Hiroshima restaurant (food),Eating Out,Home
ｸﾗﾏﾂ,Hiroshima (Kuramatsu),Eating Out,Home
ｽｽﾞ ｶﾌｴ ｸﾞﾗﾝﾄﾞﾀﾜ,Hiroshima (Suzu Cafe),Eating Out,Home
ｼﾊﾞｲｻﾘﾖｳ ﾐｽﾞﾊ,Hiroshima (Shiba Sariyu),Eating Out,Home
ﾛﾂﾃﾘｱﾋﾛｼﾏﾎﾝﾄﾞｵﾘﾃ,Hiroshima (Lotteria),Eating Out,Home
ｶﾞｽﾄ,Hiroshima (Gusto),Eating Out,Home
くら寿司港北みなも店,Kurasushi,Eating Out,Home
ｽﾀ-ﾊﾞﾂｸｽｺ-ﾋ-ｼﾞﾔﾊ,Starbuck,Eating Out,Home
ﾌﾞﾛﾝｺﾋﾞﾘ- ｺｳﾎｸﾐﾅ,Steak Bronco,Eating Out,Home
ﾍﾟｲﾍﾟｲ ｼｮｸｾｲｶﾂﾗﾌ,Paypay Sokusei Katsurafu,Eating Out,Home
ｹﾝﾀﾂｷ-ﾌﾗｲﾄﾞﾁｷﾝ,KFC,Eating Out,Home
ﾍﾞｲｸｼﾞﾕｳｶﾞｵｶﾎﾝﾃﾝ,Bake Cheese Tart,Eating Out,Home
ﾍﾟｲﾍﾟｲ ｸﾗｽﾞｼ,Paypay Kurasushi,Eating Out,Home
ﾍﾟｲﾍﾟｲ ﾘﾝｶﾞｰﾊｯﾄ,Paypay Ringer Hut,Eating Out,Home
ﾍﾟｲﾍﾟｲ ﾖｼﾉﾔ,Paypay Yoshinoya (Gyuudon),Eating Out,Home
ﾍﾟｲﾍﾟｲ ｼｬﾌﾞｼｬﾌﾞｵﾝﾔｻｲ,Paypay Shabushabu Yasai,Eating Out,Home
ﾍﾟｲﾍﾟｲ ｶﾏｸﾗﾊﾟｽﾀ,Paypay Kamakura Pasta,Eating Out,Home
ﾍﾟｲﾍﾟｲ ｲｲﾅｾﾞｽﾄ,Paypay Finedeli Zest,Eating Out,Home
ﾜｼﾖｸﾚｽﾄﾗﾝ ﾃﾝｸﾞ ｺ,Tengu,Eating Out,Home
ﾍﾟｲﾍﾟｲ ｻﾝﾏﾙｸｶﾌｪ,Paypay Saint Marc Café,Eating Out,Home
ﾜｺｳﾆﾕ-ｼﾃｲｵｵｻｷﾃﾝ,Wako Osaki - Meo,Eating Out,Home
ﾍﾟｲﾍﾟｲ ﾏﾙｷｾｲﾁｬ,Paypay Marukiseicha (Tapioca),Eating Out,Home
ﾍﾟｲﾍﾟｲ ﾌｧｰｽﾄｷｯﾁﾝｸﾞﾙｰ,Paypay Wendy's First Kitchen (Food Court),Eating Out,Home
ﾍﾟｲﾍﾟｲ ｽﾃｰｷｶﾞｽﾄ,Paypay Steak Gusto,Eating Out,Home
ポッポ,Poppo Ramen Lalaport,Eating Out,Home
ﾍﾟｲﾍﾟｲ ﾖｺﾊﾏﾔ,Paypay Yokohama Ya Ramen,Eating Out,Home
ﾍﾟｲﾍﾟｲ ｱｽﾞﾏﾔﾄｳﾌﾃﾝ,Paypay Azumaya Tofu Truck,Eating Out,Home
ﾍﾟｲﾍﾟｲ ﾊﾅﾏﾙ,Paypay Hanamaru Udon Lalaport,Eating Out,Home
ﾄﾘﾀﾏ*CO,Toritama Mosaic Foodcourt,Eating Out,Home
ｷﾞﾖｳｻﾞﾉｵｳｼﾖｳﾓｻﾞｲ,Gyoza Mosaic Foodcourt,Eating Out,Home
ﾔｷﾆｸｷﾝｸﾞ ﾖｺﾊﾏﾂﾂﾞ,Yakiniku Kingu,Eating Out,Home
ｺｳﾎｸﾕﾂﾀﾘｺｺ,Chicken & Egg Meal (Tsutari Koko),Eating Out,Home
ﾓｽﾊﾞ-ｶﾞ-,Moss Burger (Kita),Eating Out,Home
ﾃﾝﾌﾟﾗ ｺﾞﾝﾊﾟﾁ ｱｻﾞ,Tempura Gonbachi Azamino,Eating Out,Home
ﾍﾟｲﾍﾟｲ ﾚﾓﾈｰﾄﾞﾊﾞｲﾚﾓﾆｶ,Paypay Lemonade Lemonica,Eating Out,Home
ﾍﾟｲﾍﾟｲ ｸﾞﾘﾝｺｰﾋｰ ﾘｰﾄﾞ,Paypay Green Coffee Lead,Eating Out,Home
ｴｲ ｱﾝﾄﾞ ｴﾌ ｺﾞﾃﾝﾊ,Abercrombie & Fitch Gotemba,Fashion,Meo
UBER   *EATS利用国NLD,Uber Eats,Eating Out,Home
ﾊﾟﾃｲｽﾘ-ﾗ･ｳﾞｲ･ﾄﾞｳ,La Vie Douce,Eating Out,Home
ﾆﾄﾘｶﾌｪ,Nitori Café,Eating Out,Home
ﾌｲﾂﾄｹｱﾃﾞﾎﾟ ｻﾌｱ-ﾚ,Fit care,Household Supplies,Home
ｾｶﾝﾄﾞｽﾄﾘ-ﾄ ﾖｺﾊﾏｺ,2nd Street,Household Supplies,Home
ﾕｻﾞﾜﾔ ｾﾝﾀ-ｷﾀﾃﾝ,Yuzawaya (đồ may vá),Household Supplies,Home
ｵﾌﾊｳｽ ｺｳﾎｸｾﾝﾀ-ﾐﾅ,House Off,Household Supplies,Home
ﾌﾗﾜ-ｼﾖﾂﾌﾟｹ-ｱﾝﾄﾞｴ,Flower shop,Household Supplies,Home
ニトリ,Nitori,Household Supplies,Home
ｱﾍﾞｲﾙ,Avail clothes shop,Household Supplies,Home
家電住まいる館ＹＡＭＡＤＡ港北,Yamada Denki,Furniture,Home
コ－ナン港北ニュ－タウン店,Konan,Household Supplies,Home
ﾊ-ﾄﾞｵﾌ ｶﾏｸﾗｵｵﾌﾅﾓ,Hard Off Kamakura,Household Supplies,Home
セカンドストリート横浜港北店,2nd street,Household Supplies,Home
楽天ＳＰ　ブックオフアプリ,Book Off Ratuten Pay,Household Supplies,Home
ﾍﾟｲﾍﾟｲ ﾀﾞｲｿｰ,Paypay Daiso,Household Supplies,Home
ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ,Paypay Fitcare,Household Supplies,Home
イオンリテール,AEON Retail,Household Supplies,Home
ﾍﾟｲﾍﾟｲ ﾌﾞｯｸｵﾌ,Paypay Book Off,Household Supplies,Home
ﾍﾟｲﾍﾟｲ ｶﾌﾞｼｷｶﾞｲｼｬﾔﾏﾀ,Paypay Yamada Denki,Furniture,Home
ﾍﾟｲﾍﾟｲ ﾌﾗﾜｰｼｮｯﾌﾟｹｰｱﾝ,Paypay Flower Shop Nakagawa,Household Supplies,Home
ﾍﾟｲﾍﾟｲ ﾌﾞｯｸﾌｧｰｽﾄ,Paypay Book 1st Corporation,Education,Home
ﾆﾄﾘ ﾈﾂﾄ,Nitori Internet,Furniture,Home
楽天ＳＰ　ＩＫＥＡ　アプリ,IKEA,Household Supplies,Home
ﾍﾟｲﾍﾟｲ ｶﾌﾞｼｷｶﾞｲｼｬｴｺｸ,Paypay Hard Off Center Minami,Household Supplies,Home
コ－ナン商事,Konan,Household Supplies,Home
ﾕｻﾞﾜﾔ ｱｲﾀｲｾﾝﾀ-ｷﾀ,Yuzawaya - Center Kita (đồ thủ công),Household Supplies,Home
ｲｵﾝﾊﾞｲｸｺｳﾎｸｾﾝﾀ-,AEON Bike Kohoku,Transportation,Home
ﾍﾟｲﾍﾟｲ ｼｭｹﾞｲｾﾝﾀｰ ﾄﾞﾘ,Paypay Sugei Center Kita (Hand craft),Household Supplies,Home
ﾍﾟｲﾍﾟｲ ｹﾞｵ,Paypay Geo,Household Supplies,Home
ﾍﾟｲﾍﾟｲ ｲﾜｼﾊﾟﾝ,Paypay Bicycle Nakagawa Shop,Transportation,Home
ﾍﾟｲﾍﾟｲ ﾏﾂﾔ,Paypay Matsuya,Education,Home
ﾍﾟｲﾍﾟｲ ﾎｰﾑｾﾝﾀｰｺｰﾅﾝ,Paypay Home Center Konan,Household Supplies,Home
ﾍﾟｲﾍﾟｲ ﾋﾞｰｽﾄｯｸ,Paypay B-Stock,Household Supplies,Home
ﾍﾟｲﾍﾟｲ ﾋﾞｯｸｶﾒﾗ,Paypay Big Camera,Household Supplies,Home
ニトリネット,Nitori Net,Furniture,Home
ﾍﾟｲﾍﾟｲ ｸﾘｴｲﾄｴｽﾃﾞｨｰ,Paypay Create,Household Supplies,Home
BILL ITUNES COM,Itunes,Utilities,Home
８８モバイル楽天市場店,88 Mobile,Utilities,Home
ＷｉＦｉレンタル楽天市場店,Wifi Rental,Utilities,Home
ＡＳＡＨＩネット,Asahi NET,Utilities,Home
APPLE COM BILL,Apple payment,Utilities,Home
クリエイトエス・ディー,Create,Household Supplies,Home
ｼﾖｳﾅﾝﾌｼﾞｻﾜﾄｸｼﾕｳｶ,Shonan Hospital,Medical,Home
ｼﾖｳﾜﾀﾞｲｶﾞｸﾖｺﾊﾏｼﾎ,Showa University,Medical,Home
MSｾﾝﾀ-ﾐﾅﾐ,Medical Scanning Center Minami,Medical,Home
ｺｳﾎｸｺｳﾓﾝｸﾘﾆﾂｸ,Kohoku Komon Clinic,Medical,Home
ﾍﾟｲﾍﾟｲ ﾂﾂﾞｷﾚﾃﾞｨｽｸﾘﾆｯ,Paypay Tsuzuki Ladies Clinic,Medical,Home
ｱｶﾁﾔﾝﾎﾝﾎﾟ ｺｳﾎｸﾄｳ,Akachan Honpo,Kids,Home
(ｶ) ﾆｼﾏﾂﾔﾁｴ-ﾝ,Nishimatsuya,Kids,Home
ｱｶﾁﾔﾝﾎﾝﾎﾟ ﾃﾗｽﾓ-ﾙ,Akachan Honpo,Kids,Home
ﾍﾟｲﾍﾟｲ ｱｶﾁｬﾝﾎﾝﾎﾟ,Paypay Akachanhonpo,Kids,Home
ﾍﾟｲﾍﾟｲ ﾌﾟﾃｨﾏｲﾝ,Paypay Petit Main,Kids,Home
ｷﾂｽﾞﾉｰｽﾎﾟｰﾄ,Kid Republic,Kids,Home
ＫＵＭＯＮ　ＪＡＰＡＮＥＳＥ,KUMON,Education,Home
ベネッセコーポレーション,Benese Kodomo Chalenge,Education,Home
ﾆﾎﾝｺﾞﾉｳﾘﾖｸｼｹﾝ,JLPT,Education,Home
ﾍﾟｲﾍﾟｲ ﾂﾀﾔｼｮﾃﾝ,Paypay Tsutaya,Education,Home
ブックオフオンライン,Book Off Online,Education,Home
ﾂﾀﾔｼﾖﾃﾝｺｳﾎｸﾐﾅﾓﾃﾝ,Tsutaya Kohoku,Education,Home
SUICA MOBILE PAYMENT利用国JPN,Suica,Transportation,Home
現地利用額　　　　　　５０００．０００変換レート　　　１．０００円,Suica,Transportation,Home
ﾓﾌﾞ,Taxi,Transportation,Home
神奈川都市交通,Taxi,Transportation,Home
ﾅﾘﾀｸｳｺｳｹｲｾｲｺｳｿｸﾊ,Bus Narita,Transportation,Home
現地利用額　　　　　　２０００．０００変換レート　　　１．０００円,Suica Family,Transportation,Home
ｽﾏ-ﾄｲ-ｴﾂｸｽ ｼﾞｴｲｱ,Smart Ex - Shinkansen,Transportation,Home
ｼﾞｴｲｱ-ﾙﾄｳｶｲ,JR shinkansen,Transportation,Home
AIRBNB * HMANR99STT利用国GBR,Air BnB,Transportation,Home
ｹｲﾋﾝｷﾕｳｺｳﾊﾞｽ,Keikyu Bus from Airport,Transportation,Home
ﾎﾃﾙﾙ-ﾄｲﾝｸﾞﾗﾝﾄﾞｵｵ,Grand Hotel Ota,Entertainment,Home
JRﾋｶﾞｼﾆﾎﾝ ﾐﾄﾞﾘﾉﾏ,JR EAST,Transportation,Home
ﾘﾑｼﾞﾝﾊﾞｽYCAT,YCAT BUS,Transportation,Home
チェッカ－タクシ－,Checker Taxi,Transportation,Home
ｱﾒﾘｶﾝｲ-ｸﾞﾙ ｵﾝﾗｲﾝ,Taxi,Transportation,Home
ﾓﾊﾞｲﾙｽｲｶ,Mobie Suica,Transportation,Home
モバイル　Ｓｕｉｃａ,Mobie Suica,Transportation,Home
ﾊﾂｸﾄﾞﾗﾂｸﾞｾﾝﾀｰｷﾀｱ,HAC,Groceries,Home
ﾍﾟｲﾍﾟｲ ﾍｱｰｻﾛﾝ ﾊｰﾄ,Paypay Hair Salon Heart,Personal,Vit
ﾍﾟｲﾍﾟｲ ﾆｯﾎﾟﾝﾕｳﾋﾞﾝ,Paypay Japan Post,Utilities,Home
ﾍﾟｲﾍﾟｲ ﾜｰﾙﾄﾞｺﾚﾂｨｵｰﾈ,Paypay World Collection One,Personal,Vit
ﾍﾟｲﾍﾟｲ ｹﾝﾀｯｷｰﾌﾗｲﾄﾞﾁｷ,Paypay KFC,Eating Out,Home
ﾗ-ﾒﾝｶｲﾘｷﾔ ｾﾝﾀ-ﾐﾅ,Ramen Center Minami,Eating Out,Home
ｼﾔﾄﾚｰｾﾞ,Chateraise Bakery,Groceries,Home
ﾍﾟｲﾍﾟｲ ﾌﾞﾛﾝｺﾋﾞﾘｰ,Paypay Bronco,Eating Out,Home
