PaymentAt,Information,Category
ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ,Paypay Big Yosun,Groceries
MYBﾅｶｶﾞﾜｴｷｷﾀ,My Basket Nakagawa Ekikita,Groceries
ﾍﾟｲﾍﾟｲ ｿｳﾃﾂﾛｰｾﾞﾝ,Paypay Sotetsu Rosen (Supermarket),Groceries
ﾍﾟｲﾍﾟｲ ﾄｳｷｭｳｽﾄｱ,Paypay Tokyu Store,Groceries
ﾍﾟｲﾍﾟｲ ﾊﾝｷｭｳﾊﾝｼﾝﾋｬｯｶ,Paypay Hankyu Hanshin Food (Near Mosaic Food Court),Groceries
ﾍﾟｲﾍﾟｲ ﾌｧﾐﾘｰﾏｰﾄ,Paypay Family Mart,Groceries
ﾍﾟｲﾍﾟｲ ﾎﾟﾝﾊﾟﾄﾞｳﾙ,Paypay Ponpadour,Groceries
ﾏｲﾊﾞｽｹﾂﾄﾅｶｶﾞﾜｴｷ,My Basket Nakagawa,Groceries
ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶｶ,Maruetsu,Groceries
ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ,Paypay Junberry Bakery Nakagawa,Groceries
ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ,Paypay Maruetsu,Groceries
ﾍﾟｲﾍﾟｲ ﾊﾝｷｭｳﾊﾝｼﾝ,Paypay Hankyu Hanshin,Groceries
楽天ＳＰ　丸高名産店,Marutaka (Sourvenir shop in Atami),Groceries
ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ,Paypay Junebakery,Groceries
ﾒｶﾞﾄﾞﾝ･ｷﾎ-ﾃｱｵﾊﾞﾀ,Mega Donkihote Aobadai,Groceries
ﾍﾟｲﾍﾟｲ ｾﾌﾞﾝｲﾚﾌﾞﾝ,Paypay Seven Eleven,Groceries
ﾍﾟｲﾍﾟｲ ﾁｭﾝ ﾀﾑ,Paypay Vietshop Yokohama,Groceries
ﾔﾌ-ｶﾝﾀﾝｹｯｻｲ,Yahoo,Need Confirmed
ﾓｻﾞｲｸﾓ-ﾙｺｳﾎｸ,Mosaic Mall,Need Confirmed
ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Northport mall,Need Confirmed
ユニクロ,Uniqlo,Need Confirmed
AMAZON.CO.JP,Amazon,Need Confirmed
ﾀﾏﾌﾟﾗ-ｻﾞﾃﾗｽ,TamaPlaza Terrace Mall,Need Confirmed
ﾄｳｷﾕｳﾋﾔﾂｶﾃﾝ,Tokyuu Mall,Need Confirmed
BSBﾉ-ｽﾎﾟ-ﾄ.ﾓ-ﾙ,Northport mall,Need Confirmed
イオンリテール,AEON,Need Confirmed
ﾊﾂｸﾄﾞﾗﾂｸﾞ ﾄﾂｶﾃﾝ,HAC Totsuka,Medical
ﾑｼﾞﾙｼﾘﾖｳﾋﾝ ﾈ,Muji,Need Confirmed
ユーネクストサービス　利用料,U-NEXT,Personal
ｴ-ﾋﾞ-ｼ-ﾏ-ﾄﾄﾞﾂﾄﾈﾂ,ABC Mart,Need Confirmed
ｶ)ｼﾞ-ﾕ-,GU,Need Confirmed
ﾕﾆｸﾛ,Uniqlo,Need Confirmed
ﾕﾆｸﾛ ｼﾞ-ﾕ- ｵ,Uniqlo,Need Confirmed
ｲｲﾅｱﾝﾄﾞｾﾞｽﾄｺｳﾎｸﾃ,Shoping town ITI building - Center Kita,Need Confirmed
ｸﾘｴｲﾄ,Create,Medical
ｱﾃﾞｨﾀﾞｽ ｵﾝﾗｲﾝ ｼｮ,Shop Adidas,Need Confirmed
ｸﾛﾂｸｽｵﾝﾗｲﾝｼﾖﾂﾌﾟ,Shop CROCS,Need Confirmed
スポーツデポ,Sport DEPO,Need Confirmed
ｷﾞﾔﾂﾌﾟｼﾞﾔﾊﾟﾝ ｵﾝﾗ,GAP,Need Confirmed
ａｄｉｄａｓＯｎｌｉｎｅＳｈｏ,Shop Adidas,Need Confirmed
広島ロフト,Hiroshima Golf,Need Confirmed
ルイール　コン美ニエンスショッ,Rakuten shop,Need Confirmed
ベルコスメ（美容・コスメ・香水,Rakuten shop,Need Confirmed
ＬＯＣＯＭＡＬＬ（ロコンド公式,Rakuten shop,Need Confirmed
ＳＫ‐ＩＩ　公式ショップ楽天市,Rakuten shop,Need Confirmed
ﾜ-ﾙﾄﾞｵﾝﾗｲﾝｽﾄｱ,World Online store,Need Confirmed
ﾎﾝﾔｸｶﾞｲｼﾔJOHO,JOHO translation,Others
ﾙﾐﾈｴｽﾄ,Lumine Shinjuku,Need Confirmed
ﾍﾟｲﾍﾟｲ ﾕﾆｸﾛ,Paypay Uniqlo,Need Confirmed
モザイクモール港北,Mosaic Mall,Need Confirmed
ｺ-ｾ-ﾏｲﾊﾀﾞｵﾝﾗｲﾝｼﾖ,Maison Kose,Personal
ﾊﾂｸﾄﾞﾗﾂｸﾞ ｻｳｽｳﾂﾄ,HAC,Medical
コナカ港北ノースポートモール店,KONAKA Suit,Personal
ＡＣＡＤＥＭＩＡ港北店,ACADEMIA,Need Confirmed
ｼﾞﾖｲﾅｽ,Joinus,Need Confirmed
横浜市営地下鉄センター北駅ＩＴ,Subway Center Kita IT Mall,Need Confirmed
ﾍﾟｲﾍﾟｲ ｺｳﾎｸﾄｳｷｭｳ,Paypay Kohoku Tokyu,Need Confirmed
ﾍﾟｲﾍﾟｲ ﾄｳｷｭｳﾊﾝｽﾞ,Paypay Tokyu Hanzu (Center Minami - Shopping),Need Confirmed
ﾍﾟｲﾍﾟｲ ﾛｰｿﾝ,Paypay Lawson,Household supplies
ユニクロジーユーオンライン,Uniqlo Online,Need Confirmed
ﾁｬｰﾙｽﾞｱﾝﾄﾞｷｰｽｺｳｼ,Charles and Keith,Personal
ﾊﾂｸﾄﾞﾗﾂｸﾞ ｺｳﾎｸﾐﾅ,HAC,Medical
ﾍﾟｲﾍﾟｲ ｼﾞｰﾕｰ,Paypay GU,Need Confirmed
ﾍﾟｲﾍﾟｲ ｳｴﾙｼｱｸﾞﾙｰﾌﾟ,Paypay HAC,Medical
ﾍﾟｲﾍﾟｲ ﾀﾏﾌﾟﾗｰｻﾞ ﾃﾗｽ,Paypay Tamaplaza Terrace,Need Confirmed
ﾍﾟｲﾍﾟｲ ｱﾙﾍﾟﾝ,Paypay Alpen (Sport Depo),Need Confirmed
APPLE JAPAN INC,Apple JAPAN Store,Personal
ＮＥＴＦＬＩＸ．ＣＯＭ,Netflix,Personal
ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ,Paypay charge,Need Confirmed
KICKSTARTER KEYCHRON利用国USA,Kick Starter Keychron,Personal
ﾍﾟｲﾍﾟｲ ﾗﾗﾎﾟｰﾄﾖｺﾊﾏ,Paypay Lalaport Yokohama,Need Confirmed
ﾄｳｶｲｷﾖｽｸ ｸﾞﾗﾝﾄﾞｷ,Grand Kiosk (Combini),Household supplies
ﾍﾟｲﾍﾟｲ ﾗﾗﾎﾟｰﾄﾖｺﾊ,Paypay Lalaport Yokohama,Need Confirmed
ららぽーと横浜,Lalaport Yokohama,Need Confirmed
高島屋,Takashimaya,Need Confirmed
ﾄｳｷﾕｳﾋﾔﾂｶﾃﾝﾀﾏﾌﾟﾗ,Tokyu Department Store Tama Plaza,Need Confirmed
ﾁﾔ-ﾙｽﾞｱﾝﾄﾞ,Charles and Keith,Personal
ﾏｸﾄﾞﾅﾙﾄﾞ,McDonalds,Eating Out
くら寿司モザイクモール港北店,Kurasushi,Eating Out
成田国際空港ターミナル,Narita Mall,Eating Out
ｶﾂｺｳﾎﾞｳﾜｺｳｱﾕﾐｶﾞｵ,Katsudon,Eating Out
ｲﾂﾎﾟｲﾂﾎﾟﾉｶﾌｴｼﾖｸﾄ,Café Pono,Eating Out
ｼﾁﾘﾝﾔｷﾆｸｱﾝｱﾝｺｳﾎｸ,AnAn,Eating Out
ﾏ-ｸｲｽﾞﾐﾅﾄﾐﾗｲ,Sushi Minatomirai,Eating Out
アピタ　サインレス食品,Apita Restaurant,Eating Out
ﾀﾘ-ｽﾞｺ-ﾋ-,Tully Coffe,Eating Out
ﾓﾄﾏﾁｸﾞﾘﾙ,Hiroshima restaurant (grill),Eating Out
ﾏﾝﾏﾋﾟﾂﾂｱ,Hiroshima restaurant (food),Eating Out
ｸﾗﾏﾂ,Hiroshima (Kuramatsu),Eating Out
ｽｽﾞ ｶﾌｴ ｸﾞﾗﾝﾄﾞﾀﾜ,Hiroshima (Suzu Cafe),Eating Out
ｼﾊﾞｲｻﾘﾖｳ ﾐｽﾞﾊ,Hiroshima (Shiba Sariyu),Eating Out
ﾛﾂﾃﾘｱﾋﾛｼﾏﾎﾝﾄﾞｵﾘﾃ,Hiroshima (Lotteria),Eating Out
ｶﾞｽﾄ,Hiroshima (Gusto),Eating Out
くら寿司港北みなも店,Kurasushi,Eating Out
ｽﾀ-ﾊﾞﾂｸｽｺ-ﾋ-ｼﾞﾔﾊ,Starbuck,Eating Out
ﾌﾞﾛﾝｺﾋﾞﾘ- ｺｳﾎｸﾐﾅ,Steak Bronco,Eating Out
ﾍﾟｲﾍﾟｲ ｼｮｸｾｲｶﾂﾗﾌ,Paypay Sokusei Katsurafu,Eating Out
ｹﾝﾀﾂｷ-ﾌﾗｲﾄﾞﾁｷﾝ,KFC,Eating Out
ﾍﾞｲｸｼﾞﾕｳｶﾞｵｶﾎﾝﾃﾝ,Bake Cheese Tart,Eating Out
ﾍﾟｲﾍﾟｲ ｸﾗｽﾞｼ,Paypay Kurasushi,Eating Out
ﾍﾟｲﾍﾟｲ ﾘﾝｶﾞｰﾊｯﾄ,Paypay Ringer Hut,Eating Out
ﾍﾟｲﾍﾟｲ ﾖｼﾉﾔ,Paypay Yoshinoya (Gyuudon),Eating Out
ﾍﾟｲﾍﾟｲ ｼｬﾌﾞｼｬﾌﾞｵﾝﾔｻｲ,Paypay Shabushabu Yasai,Eating Out
ﾍﾟｲﾍﾟｲ ｶﾏｸﾗﾊﾟｽﾀ,Paypay Kamakura Pasta,Eating Out
ﾍﾟｲﾍﾟｲ ｲｲﾅｾﾞｽﾄ,Paypay Finedeli Zest,Eating Out
ﾜｼﾖｸﾚｽﾄﾗﾝ ﾃﾝｸﾞ ｺ,Tengu,Eating Out
ﾍﾟｲﾍﾟｲ ｻﾝﾏﾙｸｶﾌｪ,Paypay Saint Marc Café,Eating Out
ﾜｺｳﾆﾕ-ｼﾃｲｵｵｻｷﾃﾝ,Wako Osaki - Meo,Eating Out
ﾍﾟｲﾍﾟｲ ﾏﾙｷｾｲﾁｬ,Paypay Marukiseicha (Tapioca),Eating Out
ﾍﾟｲﾍﾟｲ ﾌｧｰｽﾄｷｯﾁﾝｸﾞﾙｰ,Paypay Wendy's First Kitchen (Food Court),Eating Out
ﾍﾟｲﾍﾟｲ ｽﾃｰｷｶﾞｽﾄ,Paypay Steak Gusto,Eating Out
ポッポ,Poppo Ramen Lalaport,Eating Out
ﾍﾟｲﾍﾟｲ ﾖｺﾊﾏﾔ,Paypay Yokohama Ya Ramen,Eating Out
ﾍﾟｲﾍﾟｲ ｱｽﾞﾏﾔﾄｳﾌﾃﾝ,Paypay Azumaya Tofu Truck,Eating Out
ﾍﾟｲﾍﾟｲ ﾊﾅﾏﾙ,Paypay Hanamaru Udon Lalaport,Eating Out
ﾄﾘﾀﾏ*CO,Toritama Mosaic Foodcourt,Eating Out
ｷﾞﾖｳｻﾞﾉｵｳｼﾖｳﾓｻﾞｲ,Gyoza Mosaic Foodcourt,Eating Out
ﾔｷﾆｸｷﾝｸﾞ ﾖｺﾊﾏﾂﾂﾞ,Yakiniku Kingu,Eating Out
ｺｳﾎｸﾕﾂﾀﾘｺｺ,Chicken & Egg Meal (Tsutari Koko),Eating Out
ﾓｽﾊﾞ-ｶﾞ-,Moss Burger (Kita),Eating Out
ﾃﾝﾌﾟﾗ ｺﾞﾝﾊﾟﾁ ｱｻﾞ,Tempura Gonbachi Azamino,Eating Out
ﾍﾟｲﾍﾟｲ ﾚﾓﾈｰﾄﾞﾊﾞｲﾚﾓﾆｶ,Paypay Lemonade Lemonica,Eating Out
ﾍﾟｲﾍﾟｲ ｸﾞﾘﾝｺｰﾋｰ ﾘｰﾄﾞ,Paypay Green Coffee Lead,Eating Out
ｴｲ ｱﾝﾄﾞ ｴﾌ ｺﾞﾃﾝﾊ,Abercrombie & Fitch Gotemba,Eating Out
UBER   *EATS利用国NLD,Uber Eats,Eating Out
ﾊﾟﾃｲｽﾘ-ﾗ･ｳﾞｲ･ﾄﾞｳ,La Vie Douce,Eating Out
ﾆﾄﾘｶﾌｪ,Nitori Café,Eating Out
ﾌｲﾂﾄｹｱﾃﾞﾎﾟ ｻﾌｱ-ﾚ,Fit care,Household supplies
ｾｶﾝﾄﾞｽﾄﾘ-ﾄ ﾖｺﾊﾏｺ,2nd Street,Household supplies
ﾕｻﾞﾜﾔ ｾﾝﾀ-ｷﾀﾃﾝ,Yuzawaya (đồ may vá),Household supplies
ｵﾌﾊｳｽ ｺｳﾎｸｾﾝﾀ-ﾐﾅ,House Off,Household supplies
ﾌﾗﾜ-ｼﾖﾂﾌﾟｹ-ｱﾝﾄﾞｴ,Flower shop,Household supplies
ニトリ,Nitori,Household supplies
ｱﾍﾞｲﾙ,Avail clothes shop,Household supplies
家電住まいる館ＹＡＭＡＤＡ港北,Yamada Denki,Household supplies
コ－ナン港北ニュ－タウン店,Konan,Household supplies
ﾊ-ﾄﾞｵﾌ ｶﾏｸﾗｵｵﾌﾅﾓ,Hard Off Kamakura,Household supplies
セカンドストリート横浜港北店,2nd street,Household supplies
楽天ＳＰ　ブックオフアプリ,Book Off Ratuten Pay,Household supplies
ﾍﾟｲﾍﾟｲ ﾀﾞｲｿｰ,Paypay Daiso,Household supplies
ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ,Paypay Fitcare,Household supplies
イオンリテール,AEON Retail,Household supplies
ﾍﾟｲﾍﾟｲ ﾌﾞｯｸｵﾌ,Paypay Book Off,Household supplies
ﾍﾟｲﾍﾟｲ ｶﾌﾞｼｷｶﾞｲｼｬﾔﾏﾀ,Paypay Yamada Denki,Household supplies
ﾍﾟｲﾍﾟｲ ﾌﾗﾜｰｼｮｯﾌﾟｹｰｱﾝ,Paypay Flower Shop Nakagawa,Household supplies
ﾍﾟｲﾍﾟｲ ﾌﾞｯｸﾌｧｰｽﾄ,Paypay Book 1st Corporation,Household supplies
ﾆﾄﾘ ﾈﾂﾄ,Nitori Internet,Household supplies
楽天ＳＰ　ＩＫＥＡ　アプリ,IKEA,Household supplies
ﾍﾟｲﾍﾟｲ ｶﾌﾞｼｷｶﾞｲｼｬｴｺｸ,Paypay Hard Off Center Minami,Household supplies
コ－ナン商事,Konan,Household supplies
ﾕｻﾞﾜﾔ ｱｲﾀｲｾﾝﾀ-ｷﾀ,Yuzawaya - Center Kita (đồ thủ công),Household supplies
ｲｵﾝﾊﾞｲｸｺｳﾎｸｾﾝﾀ-,AEON Bike Kohoku,Household supplies
ﾍﾟｲﾍﾟｲ ｼｭｹﾞｲｾﾝﾀｰ ﾄﾞﾘ,Paypay Sugei Center Kita (Hand craft),Household supplies
ﾍﾟｲﾍﾟｲ ｹﾞｵ,Paypay Geo,Household supplies
ﾍﾟｲﾍﾟｲ ｲﾜｼﾊﾟﾝ,Paypay Bicycle Nakagawa Shop,Transportation
ﾍﾟｲﾍﾟｲ ﾏﾂﾔ,Paypay Matsuya,Household supplies
ﾍﾟｲﾍﾟｲ ﾎｰﾑｾﾝﾀｰｺｰﾅﾝ,Paypay Home Center Konan,Household supplies
ﾍﾟｲﾍﾟｲ ﾋﾞｰｽﾄｯｸ,Paypay B-Stock,Household supplies
ﾍﾟｲﾍﾟｲ ﾋﾞｯｸｶﾒﾗ,Paypay Big Camera,Household supplies
ニトリネット,Nitori Net,Household supplies
ﾍﾟｲﾍﾟｲ ｸﾘｴｲﾄｴｽﾃﾞｨｰ,Paypay Create,Household supplies
BILL ITUNES COM,Itunes,Ultilities
８８モバイル楽天市場店,88 Mobile,Ultilities
ＷｉＦｉレンタル楽天市場店,Wifi Rental,Ultilities
ＡＳＡＨＩネット,Asahi NET,Ultilities
APPLE COM BILL,Apple payment,Ultilities
クリエイトエス・ディー,Create,Household supplies
ｼﾖｳﾅﾝﾌｼﾞｻﾜﾄｸｼﾕｳｶ,Shonan Hospital,Medical
ｼﾖｳﾜﾀﾞｲｶﾞｸﾖｺﾊﾏｼﾎ,Showa University,Medical
MSｾﾝﾀ-ﾐﾅﾐ,Medical Scanning Center Minami,Medical
ｺｳﾎｸｺｳﾓﾝｸﾘﾆﾂｸ,Kohoku Komon Clinic,Medical
ﾍﾟｲﾍﾟｲ ﾂﾂﾞｷﾚﾃﾞｨｽｸﾘﾆｯ,Paypay Tsuzuki Ladies Clinic,Medical
ｱｶﾁﾔﾝﾎﾝﾎﾟ ｺｳﾎｸﾄｳ,Akachan Honpo,Kids
(ｶ) ﾆｼﾏﾂﾔﾁｴ-ﾝ,Nishimatsuya,Kids
ｱｶﾁﾔﾝﾎﾝﾎﾟ ﾃﾗｽﾓ-ﾙ,Akachan Honpo,Kids
ﾍﾟｲﾍﾟｲ ｱｶﾁｬﾝﾎﾝﾎﾟ,Paypay Akachanhonpo,Kids
ﾍﾟｲﾍﾟｲ ﾌﾟﾃｨﾏｲﾝ,Paypay Petit Main,Kids
ｷﾂｽﾞﾉｰｽﾎﾟｰﾄ,Kid Republic,Kids
ＫＵＭＯＮ　ＪＡＰＡＮＥＳＥ,KUMON,Education
ベネッセコーポレーション,Benese Kodomo Chalenge,Education
ﾆﾎﾝｺﾞﾉｳﾘﾖｸｼｹﾝ,JLPT,Education
ﾍﾟｲﾍﾟｲ ﾂﾀﾔｼｮﾃﾝ,Paypay Tsutaya,Education
ブックオフオンライン,Book Off Online,Education
ﾂﾀﾔｼﾖﾃﾝｺｳﾎｸﾐﾅﾓﾃﾝ,Tsutaya Kohoku,Education
SUICA MOBILE PAYMENT利用国JPN,Suica,Transportation
現地利用額　　　　　　５０００．０００変換レート　　　１．０００円,Suica,Transportation
ﾓﾌﾞ,Taxi,Transportation
神奈川都市交通,Taxi,Transportation
ﾅﾘﾀｸｳｺｳｹｲｾｲｺｳｿｸﾊ,Bus Narita,Transportation
現地利用額　　　　　　２０００．０００変換レート　　　１．０００円,Suica Family,Transportation
ｽﾏ-ﾄｲ-ｴﾂｸｽ ｼﾞｴｲｱ,Smart Ex - Shinkansen,Transportation
ｼﾞｴｲｱ-ﾙﾄｳｶｲ,JR shinkansen,Transportation
AIRBNB * HMANR99STT利用国GBR,Air BnB,Transportation
ｹｲﾋﾝｷﾕｳｺｳﾊﾞｽ,Keikyu Bus from Airport,Transportation
ﾎﾃﾙﾙ-ﾄｲﾝｸﾞﾗﾝﾄﾞｵｵ,Grand Hotel Ota,Transportation
JRﾋｶﾞｼﾆﾎﾝ ﾐﾄﾞﾘﾉﾏ,JR EAST,Transportation
ﾘﾑｼﾞﾝﾊﾞｽYCAT,YCAT BUS,Transportation
チェッカ－タクシ－,Checker Taxi,Transportation
ｱﾒﾘｶﾝｲ-ｸﾞﾙ ｵﾝﾗｲﾝ,Taxi,Transportation
ﾓﾊﾞｲﾙｽｲｶ,Mobie Suica,Transportation
モバイル　Ｓｕｉｃａ,Mobie Suica,Transportation
ﾊﾂｸﾄﾞﾗﾂｸﾞｾﾝﾀｰｷﾀｱ,HAC,Medical
ﾍﾟｲﾍﾟｲ ﾍｱｰｻﾛﾝ ﾊｰﾄ,Paypay Hair Salon Heart,Personal
ﾍﾟｲﾍﾟｲ ﾆｯﾎﾟﾝﾕｳﾋﾞﾝ,Paypay Japan Post,Ultilities
